,date,p (mbar),rh (%),T (degC)
50107,2020-12-14 00:40:00,987.65,100.0,3.61
50108,2020-12-14 00:50:00,987.65,100.0,3.48
50109,2020-12-14 01:00:00,987.63,100.0,3.42
50110,2020-12-14 01:10:00,987.64,100.0,3.4
50111,2020-12-14 01:20:00,987.8,100.0,3.51
50112,2020-12-14 01:30:00,987.93,100.0,3.3
50113,2020-12-14 01:40:00,987.96,100.0,3.39
50114,2020-12-14 01:50:00,987.87,99.9,3.54
50115,2020-12-14 02:00:00,987.7,100.0,3.25
50116,2020-12-14 02:10:00,987.59,100.0,2.92
50117,2020-12-14 02:20:00,987.58,100.0,2.88
50118,2020-12-14 02:30:00,987.81,100.0,3.09
50119,2020-12-14 02:40:00,987.69,100.0,3.43
50120,2020-12-14 02:50:00,987.73,100.0,3.39
50121,2020-12-14 03:00:00,987.84,99.8,3.51
50122,2020-12-14 03:10:00,987.74,98.6,3.78
50123,2020-12-14 03:20:00,987.75,98.8,3.69
50124,2020-12-14 03:30:00,987.67,99.5,3.54
50125,2020-12-14 03:40:00,987.45,99.7,3.38
50126,2020-12-14 03:50:00,987.44,100.0,3.09
50127,2020-12-14 04:00:00,987.26,100.0,2.89
50128,2020-12-14 04:10:00,987.06,100.0,2.7
50129,2020-12-14 04:20:00,987.02,100.0,2.68
50130,2020-12-14 04:30:00,987.0,100.0,2.67
50131,2020-12-14 04:40:00,987.0,100.0,2.74
50132,2020-12-14 04:50:00,986.96,100.0,2.82
50133,2020-12-14 05:00:00,986.96,100.0,3.03
50134,2020-12-14 05:10:00,986.82,100.0,3.13
50135,2020-12-14 05:20:00,986.73,100.0,3.03
50136,2020-12-14 05:30:00,986.83,100.0,3.13
50137,2020-12-14 05:40:00,986.83,100.0,3.18
50138,2020-12-14 05:50:00,986.91,100.0,2.96
50139,2020-12-14 06:00:00,986.79,100.0,2.84
50140,2020-12-14 06:10:00,986.8,100.0,2.86
50141,2020-12-14 06:20:00,986.88,100.0,2.9
50142,2020-12-14 06:30:00,986.95,100.0,2.89
50143,2020-12-14 06:40:00,986.93,99.1,3.07
50144,2020-12-14 06:50:00,986.84,98.6,3.08
50145,2020-12-14 07:00:00,986.85,99.1,2.89
50146,2020-12-14 07:10:00,986.88,99.1,2.88
50147,2020-12-14 07:20:00,986.86,98.9,2.93
50148,2020-12-14 07:30:00,986.81,98.7,2.92
50149,2020-12-14 07:40:00,986.71,98.6,2.87
50150,2020-12-14 07:50:00,986.76,98.1,2.97
50151,2020-12-14 08:00:00,986.75,97.1,3.09
50152,2020-12-14 08:10:00,986.72,97.3,3.01
50153,2020-12-14 08:20:00,986.77,97.1,3.12
50154,2020-12-14 08:30:00,986.81,95.6,3.49
50155,2020-12-14 08:40:00,986.87,94.3,3.74
50156,2020-12-14 08:50:00,986.97,93.1,3.96
50157,2020-12-14 09:00:00,987.0,92.1,4.19
50158,2020-12-14 09:10:00,987.09,91.7,4.39
50159,2020-12-14 09:20:00,987.15,91.2,4.59
50160,2020-12-14 09:30:00,987.16,90.6,4.75
50161,2020-12-14 09:40:00,987.19,90.7,4.78
50162,2020-12-14 09:50:00,987.33,90.3,4.93
50163,2020-12-14 10:00:00,987.38,88.9,5.27
50164,2020-12-14 10:10:00,987.42,87.8,5.53
50165,2020-12-14 10:20:00,987.48,86.3,5.82
50166,2020-12-14 10:30:00,987.46,84.9,6.03
50167,2020-12-14 10:40:00,987.43,83.5,6.28
50168,2020-12-14 10:50:00,987.41,82.7,6.5
50169,2020-12-14 11:00:00,987.38,81.3,6.69
50170,2020-12-14 11:10:00,987.35,80.9,6.77
50171,2020-12-14 11:20:00,987.3,80.6,6.84
50172,2020-12-14 11:30:00,987.35,80.2,6.93
50173,2020-12-14 11:40:00,987.31,79.47,7.0
50174,2020-12-14 11:50:00,987.26,78.33,7.15
50175,2020-12-14 12:00:00,987.18,77.96,7.17
50176,2020-12-14 12:10:00,987.09,78.07,7.19
50177,2020-12-14 12:20:00,986.97,77.48,7.35
50178,2020-12-14 12:30:00,986.93,77.14,7.41
50179,2020-12-14 12:40:00,986.84,76.84,7.51
50180,2020-12-14 12:50:00,986.76,76.4,7.64
50181,2020-12-14 13:00:00,986.65,76.03,7.78
50182,2020-12-14 13:10:00,986.6,75.25,7.87
50183,2020-12-14 13:20:00,986.77,73.06,8.29
50184,2020-12-14 13:30:00,986.78,71.25,8.48
50185,2020-12-14 13:40:00,986.72,72.0,8.31
50186,2020-12-14 13:50:00,986.63,73.19,8.26
50187,2020-12-14 14:00:00,986.67,73.48,8.1
50188,2020-12-14 14:10:00,986.76,72.71,8.06
50189,2020-12-14 14:20:00,986.71,72.98,8.1
50190,2020-12-14 14:30:00,986.64,72.55,8.22
50191,2020-12-14 14:40:00,986.62,72.5,8.34
50192,2020-12-14 14:50:00,986.68,73.51,8.08
50193,2020-12-14 15:00:00,986.68,75.12,7.72
50194,2020-12-14 15:10:00,986.62,76.29,7.35
50195,2020-12-14 15:20:00,986.64,77.65,7.18
50196,2020-12-14 15:30:00,986.71,78.27,7.09
50197,2020-12-14 15:40:00,986.78,78.79,7.0
50198,2020-12-14 15:50:00,986.61,80.1,6.74
50199,2020-12-14 16:00:00,986.7,81.2,6.52
50200,2020-12-14 16:10:00,986.86,81.3,6.55
50201,2020-12-14 16:20:00,986.8,81.4,6.49
50202,2020-12-14 16:30:00,986.7,81.6,6.43
50203,2020-12-14 16:40:00,986.69,82.3,6.33
50204,2020-12-14 16:50:00,986.7,83.1,6.17
50205,2020-12-14 17:00:00,986.75,83.7,6.02
50206,2020-12-14 17:10:00,986.76,84.0,5.89
50207,2020-12-14 17:20:00,986.72,84.1,5.79
50208,2020-12-14 17:30:00,986.69,84.1,5.68
50209,2020-12-14 17:40:00,986.67,84.0,5.57
50210,2020-12-14 17:50:00,986.61,84.3,5.45
50211,2020-12-14 18:00:00,986.51,84.6,5.35
50212,2020-12-14 18:10:00,986.45,84.8,5.29
50213,2020-12-14 18:20:00,986.43,84.8,5.26
50214,2020-12-14 18:30:00,986.53,85.4,5.16
50215,2020-12-14 18:40:00,986.73,85.5,5.12
50216,2020-12-14 18:50:00,986.91,85.9,5.08
50217,2020-12-14 19:00:00,986.91,86.0,5.06
50218,2020-12-14 19:10:00,986.92,86.7,4.88
50219,2020-12-14 19:20:00,986.93,87.6,4.67
50220,2020-12-14 19:30:00,986.84,87.6,4.63
50221,2020-12-14 19:40:00,986.91,87.9,4.54
50222,2020-12-14 19:50:00,986.87,87.6,4.55
50223,2020-12-14 20:00:00,986.9,87.2,4.59
50224,2020-12-14 20:10:00,986.98,87.2,4.59
50225,2020-12-14 20:20:00,986.95,86.8,4.6
50226,2020-12-14 20:30:00,987.05,86.6,4.6
50227,2020-12-14 20:40:00,987.05,87.0,4.45
50228,2020-12-14 20:50:00,986.98,86.0,4.52
50229,2020-12-14 21:00:00,987.08,85.3,4.59
50230,2020-12-14 21:10:00,987.19,85.6,4.53
50231,2020-12-14 21:20:00,987.23,86.6,4.37
50232,2020-12-14 21:30:00,987.29,86.1,4.37
50233,2020-12-14 21:40:00,987.27,85.7,4.41
50234,2020-12-14 21:50:00,987.21,85.9,4.33
50235,2020-12-14 22:00:00,987.21,85.4,4.42
50236,2020-12-14 22:10:00,987.12,84.8,4.48
50237,2020-12-14 22:20:00,986.97,84.3,4.54
50238,2020-12-14 22:30:00,986.79,83.9,4.56
50239,2020-12-14 22:40:00,986.81,84.2,4.49
50240,2020-12-14 22:50:00,986.89,84.6,4.38
50241,2020-12-14 23:00:00,986.96,85.2,4.21
50242,2020-12-14 23:10:00,987.01,85.2,4.21
50243,2020-12-14 23:20:00,987.02,85.3,4.18
50244,2020-12-14 23:30:00,987.05,86.0,4.05
50245,2020-12-14 23:40:00,986.98,86.6,3.94
50246,2020-12-14 23:50:00,986.92,86.8,3.91
50247,2020-12-15 00:00:00,986.84,86.3,3.99
50248,2020-12-15 00:10:00,986.72,85.9,4.06
50249,2020-12-15 00:20:00,986.66,85.7,4.08
50250,2020-12-15 00:30:00,986.58,85.0,4.17
50251,2020-12-15 00:40:00,986.46,84.4,4.23
50252,2020-12-15 00:50:00,986.35,84.1,4.3
50253,2020-12-15 01:00:00,986.35,84.2,4.29
50254,2020-12-15 01:10:00,986.26,85.1,4.16
50255,2020-12-15 01:20:00,986.15,85.7,4.05
50256,2020-12-15 01:30:00,986.08,85.3,4.11
50257,2020-12-15 01:40:00,986.16,85.0,4.14
50258,2020-12-15 01:50:00,986.13,84.1,4.29
50259,2020-12-15 02:00:00,986.11,84.8,4.21
50260,2020-12-15 02:10:00,986.01,84.0,4.29
50261,2020-12-15 02:20:00,985.97,83.2,4.45
50262,2020-12-15 02:30:00,985.93,83.2,4.42
50263,2020-12-15 02:40:00,985.81,82.3,4.58
50264,2020-12-15 02:50:00,985.78,82.3,4.58
50265,2020-12-15 03:00:00,985.75,81.7,4.62
50266,2020-12-15 03:10:00,985.67,82.2,4.56
50267,2020-12-15 03:20:00,985.63,82.2,4.48
50268,2020-12-15 03:30:00,985.52,82.0,4.51
50269,2020-12-15 03:40:00,985.61,82.9,4.35
50270,2020-12-15 03:50:00,985.76,82.2,4.4
50271,2020-12-15 04:00:00,985.83,83.4,4.2
50272,2020-12-15 04:10:00,985.92,83.8,4.09
50273,2020-12-15 04:20:00,986.01,83.5,4.04
50274,2020-12-15 04:30:00,986.02,82.4,4.09
50275,2020-12-15 04:40:00,986.1,82.4,4.01
50276,2020-12-15 04:50:00,986.13,82.0,4.03
50277,2020-12-15 05:00:00,986.0,81.8,4.05
50278,2020-12-15 05:10:00,985.96,80.2,4.21
50279,2020-12-15 05:20:00,985.85,79.67,4.25
50280,2020-12-15 05:30:00,985.82,79.9,4.2
50281,2020-12-15 05:40:00,985.9,79.03,4.26
50282,2020-12-15 05:50:00,985.93,77.87,4.43
50283,2020-12-15 06:00:00,985.9,78.01,4.38
50284,2020-12-15 06:10:00,985.94,78.88,4.2
50285,2020-12-15 06:20:00,985.87,80.9,3.86
50286,2020-12-15 06:30:00,985.78,81.2,3.76
50287,2020-12-15 06:40:00,985.89,79.13,4.03
50288,2020-12-15 06:50:00,985.85,77.76,4.3
50289,2020-12-15 07:00:00,985.82,77.97,4.33
50290,2020-12-15 07:10:00,985.84,78.21,4.32
50291,2020-12-15 07:20:00,985.97,79.04,4.23
50292,2020-12-15 07:30:00,985.89,79.83,4.11
50293,2020-12-15 07:40:00,986.01,80.3,4.1
50294,2020-12-15 07:50:00,985.92,80.4,4.16
50295,2020-12-15 08:00:00,985.82,80.7,4.27
50296,2020-12-15 08:10:00,985.69,79.6,4.46
50297,2020-12-15 08:20:00,985.7,79.06,4.52
50298,2020-12-15 08:30:00,985.68,78.63,4.53
50299,2020-12-15 08:40:00,985.82,78.58,4.61
50300,2020-12-15 08:50:00,985.96,78.2,4.72
50301,2020-12-15 09:00:00,986.03,77.2,4.94
50302,2020-12-15 09:10:00,986.11,76.64,5.07
50303,2020-12-15 09:20:00,986.08,76.79,5.15
50304,2020-12-15 09:30:00,986.15,78.18,5.13
50305,2020-12-15 09:40:00,986.19,79.93,5.06
50306,2020-12-15 09:50:00,986.26,80.7,5.11
50307,2020-12-15 10:00:00,986.37,81.7,5.19
50308,2020-12-15 10:10:00,986.52,81.3,5.25
50309,2020-12-15 10:20:00,986.51,81.6,5.3
50310,2020-12-15 10:30:00,986.49,82.1,5.41
50311,2020-12-15 10:40:00,986.49,81.4,5.55
50312,2020-12-15 10:50:00,986.39,80.1,5.71
50313,2020-12-15 11:00:00,986.35,77.48,5.94
50314,2020-12-15 11:10:00,986.33,76.81,6.12
50315,2020-12-15 11:20:00,986.36,77.3,6.22
50316,2020-12-15 11:30:00,986.4,76.16,6.33
50317,2020-12-15 11:40:00,986.33,74.97,6.47
50318,2020-12-15 11:50:00,986.39,74.66,6.61
50319,2020-12-15 12:00:00,986.45,74.72,6.72
50320,2020-12-15 12:10:00,986.47,74.56,6.82
50321,2020-12-15 12:20:00,986.5,74.54,7.0
50322,2020-12-15 12:30:00,986.45,73.18,7.26
50323,2020-12-15 12:40:00,986.51,71.85,7.49
50324,2020-12-15 12:50:00,986.48,71.16,7.71
50325,2020-12-15 13:00:00,986.43,71.05,7.92
50326,2020-12-15 13:10:00,986.43,70.53,8.12
50327,2020-12-15 13:20:00,986.31,70.01,8.27
50328,2020-12-15 13:30:00,986.14,69.86,8.35
50329,2020-12-15 13:40:00,986.09,69.76,8.35
50330,2020-12-15 13:50:00,985.97,68.91,8.41
50331,2020-12-15 14:00:00,985.97,68.63,8.5
50332,2020-12-15 14:10:00,986.07,68.66,8.49
50333,2020-12-15 14:20:00,986.05,69.04,8.51
50334,2020-12-15 14:30:00,986.06,69.16,8.5
50335,2020-12-15 14:40:00,986.1,69.51,8.49
50336,2020-12-15 14:50:00,986.24,70.18,8.46
50337,2020-12-15 15:00:00,986.25,70.13,8.46
50338,2020-12-15 15:10:00,986.3,70.51,8.47
50339,2020-12-15 15:20:00,986.3,70.5,8.46
50340,2020-12-15 15:30:00,986.41,70.83,8.46
50341,2020-12-15 15:40:00,986.59,71.42,8.38
50342,2020-12-15 15:50:00,986.73,72.08,8.32
50343,2020-12-15 16:00:00,986.78,72.57,8.24
50344,2020-12-15 16:10:00,986.86,73.41,8.15
50345,2020-12-15 16:20:00,986.93,75.53,8.03
50346,2020-12-15 16:30:00,987.01,77.77,7.88
50347,2020-12-15 16:40:00,987.02,78.51,7.79
50348,2020-12-15 16:50:00,987.04,79.96,7.7
50349,2020-12-15 17:00:00,987.18,81.5,7.55
50350,2020-12-15 17:10:00,987.28,83.3,7.43
50351,2020-12-15 17:20:00,987.39,84.2,7.33
50352,2020-12-15 17:30:00,987.48,84.6,7.43
50353,2020-12-15 17:40:00,987.5,86.5,7.31
50354,2020-12-15 17:50:00,987.6,87.0,7.26
50355,2020-12-15 18:00:00,987.66,88.4,7.1
50356,2020-12-15 18:10:00,987.62,89.6,6.88
50357,2020-12-15 18:20:00,987.72,89.1,6.67
50358,2020-12-15 18:30:00,987.78,90.8,6.56
50359,2020-12-15 18:40:00,987.74,90.5,6.42
50360,2020-12-15 18:50:00,987.8,89.1,6.51
50361,2020-12-15 19:00:00,987.9,87.9,6.56
50362,2020-12-15 19:10:00,988.06,88.4,6.61
50363,2020-12-15 19:20:00,988.12,89.8,6.41
50364,2020-12-15 19:30:00,988.28,90.9,6.27
50365,2020-12-15 19:40:00,988.57,90.1,6.32
50366,2020-12-15 19:50:00,988.76,89.2,6.4
50367,2020-12-15 20:00:00,988.86,90.1,6.39
50368,2020-12-15 20:10:00,988.95,91.6,6.26
50369,2020-12-15 20:20:00,989.0,92.8,6.13
50370,2020-12-15 20:30:00,989.03,93.9,6.09
50371,2020-12-15 20:40:00,989.1,92.8,6.18
50372,2020-12-15 20:50:00,989.13,93.0,6.2
50373,2020-12-15 21:00:00,989.19,92.7,6.22
50374,2020-12-15 21:10:00,989.17,93.0,6.2
50375,2020-12-15 21:20:00,989.19,93.5,6.2
50376,2020-12-15 21:30:00,989.18,94.2,6.31
50377,2020-12-15 21:40:00,989.33,94.1,6.38
50378,2020-12-15 21:50:00,989.39,93.4,6.41
50379,2020-12-15 22:00:00,989.36,93.1,6.39
50380,2020-12-15 22:10:00,989.32,92.4,6.48
50381,2020-12-15 22:20:00,989.42,92.6,6.5
50382,2020-12-15 22:30:00,989.47,92.5,6.55
50383,2020-12-15 22:40:00,989.54,92.3,6.62
50384,2020-12-15 22:50:00,989.71,92.5,6.77
50385,2020-12-15 23:00:00,989.76,92.5,6.9
50386,2020-12-15 23:10:00,989.8,92.5,6.94
50387,2020-12-15 23:20:00,989.93,91.5,6.99
50388,2020-12-15 23:30:00,990.01,91.8,6.91
50389,2020-12-15 23:40:00,990.11,91.9,6.98
50390,2020-12-15 23:50:00,990.19,92.1,6.95
50391,2020-12-16 00:00:00,990.37,92.1,6.91
50392,2020-12-16 00:10:00,990.5,91.8,6.94
50393,2020-12-16 00:20:00,990.46,91.9,6.98
50394,2020-12-16 00:30:00,990.5,91.8,7.03
50395,2020-12-16 00:40:00,990.6,91.9,7.03
50396,2020-12-16 00:50:00,990.64,92.3,6.98
50397,2020-12-16 01:00:00,990.69,92.5,6.98
50398,2020-12-16 01:10:00,990.73,92.8,6.91
50399,2020-12-16 01:20:00,990.74,93.6,6.79
50400,2020-12-16 01:30:00,990.8,93.8,6.78
50401,2020-12-16 01:40:00,990.82,93.3,6.88
50402,2020-12-16 01:50:00,990.86,93.9,6.81
50403,2020-12-16 02:00:00,991.02,94.5,6.74
50404,2020-12-16 02:10:00,991.12,95.0,6.67
50405,2020-12-16 02:20:00,991.24,95.3,6.62
50406,2020-12-16 02:30:00,991.24,95.5,6.61
50407,2020-12-16 02:40:00,991.29,95.5,6.6
50408,2020-12-16 02:50:00,991.36,95.4,6.63
50409,2020-12-16 03:00:00,991.43,95.3,6.63
50410,2020-12-16 03:10:00,991.55,95.3,6.62
50411,2020-12-16 03:20:00,991.63,94.8,6.69
50412,2020-12-16 03:30:00,991.69,94.4,6.71
50413,2020-12-16 03:40:00,991.66,94.5,6.68
50414,2020-12-16 03:50:00,991.66,94.2,6.78
50415,2020-12-16 04:00:00,991.68,94.5,6.73
50416,2020-12-16 04:10:00,991.7,94.5,6.73
50417,2020-12-16 04:20:00,991.76,94.2,6.83
50418,2020-12-16 04:30:00,991.85,93.8,6.87
50419,2020-12-16 04:40:00,991.93,94.1,6.81
50420,2020-12-16 04:50:00,991.94,94.5,6.71
50421,2020-12-16 05:00:00,991.96,93.9,6.82
50422,2020-12-16 05:10:00,992.08,93.8,6.86
50423,2020-12-16 05:20:00,992.19,94.3,6.81
50424,2020-12-16 05:30:00,992.21,95.1,6.71
50425,2020-12-16 05:40:00,992.28,96.0,6.62
50426,2020-12-16 05:50:00,992.33,95.8,6.64
50427,2020-12-16 06:00:00,992.33,95.8,6.63
50428,2020-12-16 06:10:00,992.37,95.7,6.6
50429,2020-12-16 06:20:00,992.43,95.9,6.61
50430,2020-12-16 06:30:00,992.43,95.7,6.6
50431,2020-12-16 06:40:00,992.49,95.7,6.57
50432,2020-12-16 06:50:00,992.55,95.5,6.6
50433,2020-12-16 07:00:00,992.6,95.4,6.63
50434,2020-12-16 07:10:00,992.69,96.1,6.6
50435,2020-12-16 07:20:00,992.78,96.3,6.57
50436,2020-12-16 07:30:00,992.82,96.2,6.52
50437,2020-12-16 07:40:00,992.88,96.7,6.45
50438,2020-12-16 07:50:00,992.92,97.2,6.35
50439,2020-12-16 08:00:00,992.94,97.1,6.36
50440,2020-12-16 08:10:00,992.98,97.2,6.31
50441,2020-12-16 08:20:00,993.07,97.1,6.28
50442,2020-12-16 08:30:00,993.14,97.2,6.26
50443,2020-12-16 08:40:00,993.16,97.0,6.27
50444,2020-12-16 08:50:00,993.18,96.5,6.32
50445,2020-12-16 09:00:00,993.21,96.5,6.31
50446,2020-12-16 09:10:00,993.19,96.3,6.36
50447,2020-12-16 09:20:00,993.23,96.2,6.44
50448,2020-12-16 09:30:00,993.24,95.1,6.61
50449,2020-12-16 09:40:00,993.27,94.2,6.73
50450,2020-12-16 09:50:00,993.38,93.6,6.72
50451,2020-12-16 10:00:00,993.43,93.9,6.68
50452,2020-12-16 10:10:00,993.47,94.8,6.49
50453,2020-12-16 10:20:00,993.5,96.9,6.26
50454,2020-12-16 10:30:00,993.55,97.1,6.34
50455,2020-12-16 10:40:00,993.47,95.7,6.74
50456,2020-12-16 10:50:00,993.38,93.2,7.15
50457,2020-12-16 11:00:00,993.32,92.8,7.22
50458,2020-12-16 11:10:00,993.23,93.8,7.01
50459,2020-12-16 11:20:00,993.15,93.8,7.15
50460,2020-12-16 11:30:00,993.14,92.9,7.4
50461,2020-12-16 11:40:00,993.05,90.7,7.85
50462,2020-12-16 11:50:00,993.02,89.2,8.21
50463,2020-12-16 12:00:00,992.96,87.3,8.55
50464,2020-12-16 12:10:00,992.85,85.8,8.97
50465,2020-12-16 12:20:00,992.81,83.2,9.57
50466,2020-12-16 12:30:00,992.78,82.0,9.88
50467,2020-12-16 12:40:00,992.8,79.5,10.46
50468,2020-12-16 12:50:00,992.77,78.16,10.79
50469,2020-12-16 13:00:00,992.67,78.46,10.73
50470,2020-12-16 13:10:00,992.63,78.92,10.68
50471,2020-12-16 13:20:00,992.57,79.19,10.65
50472,2020-12-16 13:30:00,992.55,78.48,10.73
50473,2020-12-16 13:40:00,992.53,77.9,10.87
50474,2020-12-16 13:50:00,992.55,78.39,10.69
50475,2020-12-16 14:00:00,992.59,78.48,10.62
50476,2020-12-16 14:10:00,992.63,77.15,11.09
50477,2020-12-16 14:20:00,992.69,75.88,11.18
50478,2020-12-16 14:30:00,992.67,76.31,11.06
50479,2020-12-16 14:40:00,992.66,76.67,10.98
50480,2020-12-16 14:50:00,992.66,77.39,10.8
50481,2020-12-16 15:00:00,992.66,78.8,10.45
50482,2020-12-16 15:10:00,992.63,79.71,10.26
50483,2020-12-16 15:20:00,992.67,80.1,10.18
50484,2020-12-16 15:30:00,992.65,80.4,10.12
50485,2020-12-16 15:40:00,992.68,81.0,9.95
50486,2020-12-16 15:50:00,992.76,82.7,9.48
50487,2020-12-16 16:00:00,992.81,85.1,9.01
50488,2020-12-16 16:10:00,992.8,86.7,8.59
50489,2020-12-16 16:20:00,992.87,87.2,8.37
50490,2020-12-16 16:30:00,993.02,87.6,8.2
50491,2020-12-16 16:40:00,993.12,87.9,8.06
50492,2020-12-16 16:50:00,993.2,88.9,7.79
50493,2020-12-16 17:00:00,993.22,90.0,7.49
50494,2020-12-16 17:10:00,993.31,90.7,7.32
50495,2020-12-16 17:20:00,993.3,90.8,7.23
50496,2020-12-16 17:30:00,993.36,90.9,7.15
50497,2020-12-16 17:40:00,993.41,91.5,6.99
